key,export,default,kind,default_source
INS_ACC2SCAL_Y,0.99949,1,calibration/identity,code(4.7.0 src)
INS_ACC2SCAL_Z,1.000427,1,calibration/identity,code(4.7.0 src)
INS_ACC2_CALTEMP,32.72947,-300,calibration/identity,code(4.7.0 src)
INS_ACC2_ID,3408162,0,calibration/identity,code(4.7.0 src)
INS_ACCOFFS_X,-0.02739513,0,calibration/identity,code(4.7.0 src)
INS_ACCOFFS_Y,0.02238205,0,calibration/identity,code(4.7.0 src)
INS_ACCOFFS_Z,0.03065747,0,calibration/identity,code(4.7.0 src)
INS_ACCSCAL_X,0.998598,1,calibration/identity,code(4.7.0 src)
INS_ACCSCAL_Z,1.001394,1,calibration/identity,code(4.7.0 src)
INS_ACC_ID,3408138,0,calibration/identity,code(4.7.0 src)
INS_ENABLE_MASK,127,7,config,code(4.7.0 src)
INS_FAST_SAMPLE,5,3,config,board
INS_GYR1_CALTEMP,39.00966,-300,calibration/identity,code(4.7.0 src)
INS_GYR2OFFS_X,0.0006879437,0,calibration/identity,code(4.7.0 src)
INS_GYR2OFFS_Y,0.005271777,0,calibration/identity,code(4.7.0 src)
INS_GYR2OFFS_Z,-0.0001150376,0,calibration/identity,code(4.7.0 src)
INS_GYR2_CALTEMP,38.28503,-300,calibration/identity,code(4.7.0 src)
INS_GYR2_ID,3408162,0,calibration/identity,code(4.7.0 src)
INS_GYROFFS_X,-0.001336511,0,calibration/identity,code(4.7.0 src)
INS_GYROFFS_Y,-0.006242813,0,calibration/identity,code(4.7.0 src)
INS_GYROFFS_Z,-0.006629823,0,calibration/identity,code(4.7.0 src)
INS_GYRO_FILTER,42,20,config,code(4.7.0 src)
INS_GYR_ID,3408138,0,calibration/identity,code(4.7.0 src)
INS_HNTCH_BW,22,40,config,code(4.7.0 src)
INS_HNTCH_ENABLE,1,0,config,code(4.7.0 src)
INS_HNTCH_FREQ,58.8,80,config,code(4.7.0 src)
INS_HNTCH_HMNCS,1,3,config,code(4.7.0 src)
INS_HNTCH_MODE,3,1,config,code(4.7.0 src)
INS_HNTCH_OPTS,6,0,config,code(4.7.0 src)
INS_HNTCH_REF,1,0,config,code(4.7.0 src)
LOG_BITMASK,65535,180222,config,sitl-4.7.0
LOG_DISARMED,2,0,config,code(4.7.0 src)
LOG_FILE_DSRMROT,1,0,config,code(4.7.0 src)
LOG_REPLAY,1,0,config,code(4.7.0 src)
MAV1_EXTRA1,1,0,config,copter-#if
MAV1_EXTRA2,1,0,config,copter-#if
MAV1_EXTRA3,1,0,config,copter-#if
MAV1_EXT_STAT,1,0,config,copter-#if
MAV1_POSITION,1,0,config,copter-#if
